STATE,YEAR,POPULATION
Connecticut,1963," 2,727,000 "
Delaware,1963," 483,000 "
Florida,1963," 5,628,000 "
Georgia,1963," 4,172,000 "
Hawaii,1963," 682,000 "
Idaho,1963," 683,000 "
Illinois,1963," 10,402,000 "
Indiana,1963," 4,799,000 "
Iowa,1963," 2,747,000 "
Kansas,1963," 2,217,000 "
Kentucky,1963," 3,096,000 "
Louisiana,1963," 3,377,000 "
Maine,1963," 993,000 "
Maryland,1963," 3,386,000 "
Massachusetts,1963," 5,344,000 "
Michigan,1963," 8,058,000 "
Minnesota,1963," 3,531,000 "
Mississippi,1963," 2,244,000 "
Missouri,1963," 4,392,000 "
Montana,1963," 703,000 "
Nebraska,1963," 1,476,000 "
Nevada,1963," 397,000 "
New Hampshire,1963," 397,000 "
New Jersey,1963," 6,531,000 "
New Mexico,1963," 6,531,000 "
New York,1963," 17,461,000 "
North Carolina,1963," 4,742,000 "
North Dakota,1963," 644,000 "
Ohio,1963," 9,986,000 "
Oklahoma,1963," 2,439,000 "
Oregon,1963," 1,853,000 "
Pennsylvania,1963," 11,424,000 "
Rhode Island,1963," 876,000 "
South Carolina,1963," 2,460,000 "
South Dakota,1963," 708,000 "
Tennessee,1963," 3,718,000 "
Texas,1963," 10,159,000 "
District of Columbia,1963," 798,000 "
Utah,1963," 974,000 "
Vermont,1963," 397,000 "
Virginia,1963," 4,276,000 "
Washington,1963," 2,955,000 "
West Virginia,1963," 1,796,000 "
Wisconsin,1963," 4,112,000 "
Wyoming,1963," 336,000 "
Alaska,1964," 263,000 "
Alabama,1964," 3,395,000 "
Arkansas,1964," 1,897,000 "
Arizona,1964," 1,556,000 "
California,1964," 18,151,000 "
Colorado,1964," 1,970,000 "
Connecticut,1964," 2,798,000 "
Delaware,1964," 497,000 "
Florida,1964," 5,781,000 "
Georgia,1964," 4,258,000 "
Hawaii,1964," 700,000 "
Idaho,1964," 680,000 "
Illinois,1964," 10,580,000 "
Indiana,1964," 4,856,000 "
Iowa,1964," 2,746,000 "
Kansas,1964," 2,209,000 "
Kentucky,1964," 3,129,000 "
Louisiana,1964," 3,446,000 "
Maine,1964," 993,000 "
Maryland,1964," 3,492,000 "
Massachusetts,1964," 5,448,000 "
Michigan,1964," 8,187,000 "
Minnesota,1964," 3,558,000 "
Mississippi,1964," 2,241,000 "
Missouri,1964," 4,442,000 "
Montana,1964," 706,000 "
Nebraska,1964," 1,482,000 "
Nevada,1964," 426,000 "
New Hampshire,1964," 426,000 "
New Jersey,1964," 6,660,000 "
New Mexico,1964," 6,660,000 "
New York,1964," 17,589,000 "
North Carolina,1964," 4,802,000 "
North Dakota,1964," 649,000 "
Ohio,1964," 10,080,000 "
Oklahoma,1964," 2,446,000 "
Oregon,1964," 1,888,000 "
Pennsylvania,1964," 11,519,000 "
Rhode Island,1964," 885,000 "
South Carolina,1964," 2,475,000 "
South Dakota,1964," 701,000 "
Tennessee,1964," 3,771,000 "
Texas,1964," 10,270,000 "
District of Columbia,1964," 798,000 "
Utah,1964," 978,000 "
Vermont,1964," 399,000 "
Virginia,1964," 4,357,000 "
Washington,1964," 2,961,000 "
West Virginia,1964," 1,797,000 "
Wisconsin,1964," 4,165,000 "
Wyoming,1964," 339,000 "
Alaska,1965," 271,000 "
Alabama,1965," 3,443,000 "
Arkansas,1965," 1,894,000 "
Arizona,1965," 1,584,000 "
California,1965," 18,585,000 "
Colorado,1965," 1,985,000 "
Connecticut,1965," 2,857,000 "
Delaware,1965," 507,000 "
Florida,1965," 5,954,000 "
Georgia,1965," 4,332,000 "
Hawaii,1965," 704,000 "
Idaho,1965," 686,000 "
Illinois,1965," 10,693,000 "
Indiana,1965," 4,922,000 "
Iowa,1965," 2,742,000 "
Kansas,1965," 2,206,000 "
Kentucky,1965," 3,140,000 "
Louisiana,1965," 3,496,000 "
Maine,1965," 997,000 "
Maryland,1965," 3,600,000 "
Massachusetts,1965," 5,502,000 "
Michigan,1965," 8,357,000 "
Minnesota,1965," 3,592,000 "
Mississippi,1965," 2,246,000 "
Missouri,1965," 4,467,000 "
Montana,1965," 706,000 "
Nebraska,1965," 1,471,000 "
Nevada,1965," 444,000 "
New Hampshire,1965," 444,000 "
New Jersey,1965," 6,767,000 "
New Mexico,1965," 6,767,000 "
New York,1965," 17,734,000 "
North Carolina,1965," 4,863,000 "
North Dakota,1965," 649,000 "
Ohio,1965," 10,201,000 "
Oklahoma,1965," 2,440,000 "
Oregon,1965," 1,937,000 "
Pennsylvania,1965," 11,620,000 "
Rhode Island,1965," 893,000 "
South Carolina,1965," 2,494,000 "
South Dakota,1965," 692,000 "
Tennessee,1965," 3,798,000 "
Texas,1965," 10,378,000 "
District of Columbia,1965," 797,000 "
Utah,1965," 994,000 "
Vermont,1965," 404,000 "
Virginia,1965," 4,411,000 "
Washington,1965," 2,967,000 "
West Virginia,1965," 1,786,000 "
Wisconsin,1965," 4,232,000 "
Wyoming,1965," 332,000 "
Alaska,1966," 271,000 "
Alabama,1966," 3,464,000 "
Arkansas,1966," 1,899,000 "
Arizona,1966," 1,614,000 "
California,1966," 18,858,000 "
Colorado,1966," 2,007,000 "
Connecticut,1966," 2,903,000 "
Delaware,1966," 516,000 "
Florida,1966," 6,104,000 "
Georgia,1966," 4,379,000 "
Hawaii,1966," 710,000 "
